,FrameName,frameDefinitions,frameExamples,role,roleExamples
0,Military_operation,"The Military of a Possessor (either a nation, institution, or private individual) conducts large-scale activities in a Area to accomplish military or combined military/non-military goals.",These groups are known to have carried out attacks on international coalition forces <t>operating</t> in Afghanistan.,Time,
0,Military_operation,"The Military of a Possessor (either a nation, institution, or private individual) conducts large-scale activities in a Area to accomplish military or combined military/non-military goals.",These groups are known to have carried out attacks on international coalition forces <t>operating</t> in Afghanistan.,Place,This sort of operation should only be conducted <fex>in open areas</fex>.
0,Quantified_mass,This frame contains transparent nouns (and some adjectives) denoting quantities of a Mass or of Individuals.,He found them in the <t>deluge</t> of papers on his desk.,Quantity,I had a <fex>heap</fex> of troubles.
0,Quantified_mass,This frame contains transparent nouns (and some adjectives) denoting quantities of a Mass or of Individuals.,He found them in the <t>deluge</t> of papers on his desk.,Mass,A modicum <fex>of seepage on the floor</fex> is to be expected.
0,Quantified_mass,This frame contains transparent nouns (and some adjectives) denoting quantities of a Mass or of Individuals.,He found them in the <t>deluge</t> of papers on his desk.,Individuals,A number <fex>of concerned citizens</fex> have raised objections.
0,Undergo_transformation,An Entity changes from one kind of thing (Initial_category) to another kind of thing (Final_category).,She <t>metamorphosed</t> from a mere coworker into a friend .,Entity,How pleasing to see that <fex>Scranton</fex> has metamorphosed .
0,Undergo_transformation,An Entity changes from one kind of thing (Initial_category) to another kind of thing (Final_category).,She <t>metamorphosed</t> from a mere coworker into a friend .,Final_category,His smile transformed <fex>into a frown</fex> .
0,Undergo_transformation,An Entity changes from one kind of thing (Initial_category) to another kind of thing (Final_category).,She <t>metamorphosed</t> from a mere coworker into a friend .,Initial_category,The viccar converted <fex>from a professional clergyman</fex> into an anti-ecclesiastical activist.
0,Undergo_transformation,An Entity changes from one kind of thing (Initial_category) to another kind of thing (Final_category).,She <t>metamorphosed</t> from a mere coworker into a friend .,Time,<fex>Then</fex> she turned into a lizard.
0,Undergo_transformation,An Entity changes from one kind of thing (Initial_category) to another kind of thing (Final_category).,She <t>metamorphosed</t> from a mere coworker into a friend .,Place,
0,Becoming_detached,The Becoming_detached frame covers two situations: a scene in which one thing comes to be physically detached from something else; or a scene in which two things come to be disconnected from each other.,The ship became <t>decoupled</t> from the dock.,Item,
0,Becoming_detached,The Becoming_detached frame covers two situations: a scene in which one thing comes to be physically detached from something else; or a scene in which two things come to be disconnected from each other.,The ship became <t>decoupled</t> from the dock.,Source,
0,Becoming_detached,The Becoming_detached frame covers two situations: a scene in which one thing comes to be physically detached from something else; or a scene in which two things come to be disconnected from each other.,The ship became <t>decoupled</t> from the dock.,Items,
0,Becoming_detached,The Becoming_detached frame covers two situations: a scene in which one thing comes to be physically detached from something else; or a scene in which two things come to be disconnected from each other.,The ship became <t>decoupled</t> from the dock.,Time,
0,Becoming_detached,The Becoming_detached frame covers two situations: a scene in which one thing comes to be physically detached from something else; or a scene in which two things come to be disconnected from each other.,The ship became <t>decoupled</t> from the dock.,Place,
0,Activity_prepare,An Agent prepares for an Activity. '',The troops were <t>preparing</t> themselves for the mission.,Agent,
0,Activity_prepare,An Agent prepares for an Activity. '',The troops were <t>preparing</t> themselves for the mission.,Activity,
0,Activity_prepare,An Agent prepares for an Activity. '',The troops were <t>preparing</t> themselves for the mission.,Time,
0,Activity_prepare,An Agent prepares for an Activity. '',The troops were <t>preparing</t> themselves for the mission.,Place,
0,Needing,The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent).,I <t>need</t> one more bolt. DNI,Cognizer,
0,Needing,The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent).,I <t>need</t> one more bolt. DNI,Requirement,
0,Needing,The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent).,I <t>need</t> one more bolt. DNI,Dependent,
0,Needing,The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent).,I <t>need</t> one more bolt. DNI,Consequences,"He needs to focus on his schoolwork, <fex>or he's not going to pass the third grade</fex>."
0,Needing,The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent).,I <t>need</t> one more bolt. DNI,Time,I need that book <fex>now</fex>!
0,Needing,The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent).,I <t>need</t> one more bolt. DNI,Place,<fex>Over at Merv's house</fex> they need three more cement trucks to finish the job.
0,Body_decoration,This frame concerns the decorations that human beings have on or apply to their bodies.,Abby rarely wears <t>lipstick</t>.,Decoration,Abby has a <fex>tattoo</fex> on her thigh.
0,Fall_asleep,A Sleeper goes from wakefulness to an altered state of consciousness where they are largely unaware of their environment.,I <t>dozed</t> <t>off</t> at about 1am.,Sleeper,
0,Fall_asleep,A Sleeper goes from wakefulness to an altered state of consciousness where they are largely unaware of their environment.,I <t>dozed</t> <t>off</t> at about 1am.,Time,
0,Fall_asleep,A Sleeper goes from wakefulness to an altered state of consciousness where they are largely unaware of their environment.,I <t>dozed</t> <t>off</t> at about 1am.,Place,
0,Attempt_distant_interaction_scenario,"An Agent attempts to interact with a relatively distant or indirectly accessible Target using some Instrument (which may be a body part, e.g. hand).",,Agent,
0,Attempt_distant_interaction_scenario,"An Agent attempts to interact with a relatively distant or indirectly accessible Target using some Instrument (which may be a body part, e.g. hand).",,Instrument,
0,Attempt_distant_interaction_scenario,"An Agent attempts to interact with a relatively distant or indirectly accessible Target using some Instrument (which may be a body part, e.g. hand).",,Target_location,
0,Attempt_distant_interaction_scenario,"An Agent attempts to interact with a relatively distant or indirectly accessible Target using some Instrument (which may be a body part, e.g. hand).",,Time,
0,Attempt_distant_interaction_scenario,"An Agent attempts to interact with a relatively distant or indirectly accessible Target using some Instrument (which may be a body part, e.g. hand).",,Place,
0,Artificiality,An Entity is evaluated for whether or not it belongs to a particular Reference_category in a context where its category membership is doubtful.,"It can be hard to get your money back after discovering you've bought a <t>bogus</t>
autograph for hundreds or thousands of dollars! ",Entity,<fex>The bomb found at the US Embassy in Berlin</fex> was fake.
0,Artificiality,An Entity is evaluated for whether or not it belongs to a particular Reference_category in a context where its category membership is doubtful.,"It can be hard to get your money back after discovering you've bought a <t>bogus</t>
autograph for hundreds or thousands of dollars! ",Reference_category,
0,Temporal_collocation,A Trajector is identified as occurring at the same time as some better-known Landmark.,He tried to take care of that <t>on</t> his last visit .,Trajector_entity,The current <fex>President of Georgia</fex> was born in Tbilisi.
0,Temporal_collocation,A Trajector is identified as occurring at the same time as some better-known Landmark.,He tried to take care of that <t>on</t> his last visit .,Landmark_event,"During <fex>last night's walk</fex> , I stubbed my toe."
0,Temporal_collocation,A Trajector is identified as occurring at the same time as some better-known Landmark.,He tried to take care of that <t>on</t> his last visit .,Trajector_period,Future <fex>eras</fex> will be vastly changed from today.
0,Temporal_collocation,A Trajector is identified as occurring at the same time as some better-known Landmark.,He tried to take care of that <t>on</t> his last visit .,Landmark_period,I went to the store on <fex>Tuesday</fex>.
0,Temporal_collocation,A Trajector is identified as occurring at the same time as some better-known Landmark.,He tried to take care of that <t>on</t> his last visit .,Trajector_event,"Currently, <fex>researchers are making new discoveries very quickly.</fex>"
0,Temporal_collocation,A Trajector is identified as occurring at the same time as some better-known Landmark.,He tried to take care of that <t>on</t> his last visit .,Landmark_entity,
0,Basis_for_attribute,A piece of information about a Landmark is presented as more accessible and useful for determining or communicating a similar type of information about the Trajector.,The cat <t>in</t> the shed purred violently .,Trajector,
0,Basis_for_attribute,A piece of information about a Landmark is presented as more accessible and useful for determining or communicating a similar type of information about the Trajector.,The cat <t>in</t> the shed purred violently .,Landmark,
0,Objective_influence,"An Influencing_entity, an Influencing_situation, or an Influencing_variable has an influence on a Dependent_entity, Dependent_situation,  or a Dependent_variable.  ''  Compare to Subjective_influence.",More and more doctors realise that diet can <t>influence</t> disease.,Influencing_entity," Much of the acreage in this round is closer to the coastline, and as such has many implications in terms of how <fex>it</fex> could impact upon fish spawning, local bird life, and even the Ministry of Defence in some cases"
0,Objective_influence,"An Influencing_entity, an Influencing_situation, or an Influencing_variable has an influence on a Dependent_entity, Dependent_situation,  or a Dependent_variable.  ''  Compare to Subjective_influence.",More and more doctors realise that diet can <t>influence</t> disease.,Dependent_entity,The Committee is responsible for making recommendations to the Board regarding the group's activities as they impact <fex>on the environment</fex>.
0,Objective_influence,"An Influencing_entity, an Influencing_situation, or an Influencing_variable has an influence on a Dependent_entity, Dependent_situation,  or a Dependent_variable.  ''  Compare to Subjective_influence.",More and more doctors realise that diet can <t>influence</t> disease.,Time,
0,Objective_influence,"An Influencing_entity, an Influencing_situation, or an Influencing_variable has an influence on a Dependent_entity, Dependent_situation,  or a Dependent_variable.  ''  Compare to Subjective_influence.",More and more doctors realise that diet can <t>influence</t> disease.,Place,
0,Rewards_and_punishments,"An Agent (the punisher or rewarder) performs a Response_action on an Evaluee for a Reason, the Evaluee's actions or beliefs.",His <t>punishment</t> of the prisoners was too harsh.,Evaluee,The boss rewarded <fex>you</fex> for your diligence.
0,Rewards_and_punishments,"An Agent (the punisher or rewarder) performs a Response_action on an Evaluee for a Reason, the Evaluee's actions or beliefs.",His <t>punishment</t> of the prisoners was too harsh.,Reason,I punished him <fex>for his impudence</fex>.
0,Rewards_and_punishments,"An Agent (the punisher or rewarder) performs a Response_action on an Evaluee for a Reason, the Evaluee's actions or beliefs.",His <t>punishment</t> of the prisoners was too harsh.,Agent,<fex>Jake's</fex> rewards to his best workers were very generous.
0,Rewards_and_punishments,"An Agent (the punisher or rewarder) performs a Response_action on an Evaluee for a Reason, the Evaluee's actions or beliefs.",His <t>punishment</t> of the prisoners was too harsh.,Time,
0,Rewards_and_punishments,"An Agent (the punisher or rewarder) performs a Response_action on an Evaluee for a Reason, the Evaluee's actions or beliefs.",His <t>punishment</t> of the prisoners was too harsh.,Place,
0,Revolution,"An Agent brings about a radical change in leadership by removing the Current_leadership and potentially dismantling the Current_order, outside recognized means of doing so (e.g., elections).",Recent reports indicate that the local troops have <t>mutinied</t> against their superiors.,Agent,
0,Revolution,"An Agent brings about a radical change in leadership by removing the Current_leadership and potentially dismantling the Current_order, outside recognized means of doing so (e.g., elections).",Recent reports indicate that the local troops have <t>mutinied</t> against their superiors.,Current_leadership,She fomented revolution <fex>against the Romans</fex>.
0,Revolution,"An Agent brings about a radical change in leadership by removing the Current_leadership and potentially dismantling the Current_order, outside recognized means of doing so (e.g., elections).",Recent reports indicate that the local troops have <t>mutinied</t> against their superiors.,Current_order,Toppling <fex>the capitalist government</fex> was their first goal.
0,Revolution,"An Agent brings about a radical change in leadership by removing the Current_leadership and potentially dismantling the Current_order, outside recognized means of doing so (e.g., elections).",Recent reports indicate that the local troops have <t>mutinied</t> against their superiors.,Time,China's <fex>20th-century</fex> revolutions have yet to have their full impact on global politics.
0,Revolution,"An Agent brings about a radical change in leadership by removing the Current_leadership and potentially dismantling the Current_order, outside recognized means of doing so (e.g., elections).",Recent reports indicate that the local troops have <t>mutinied</t> against their superiors.,Place,A series of revolutions <fex>in the eastern part of the continent</fex> made long-distance travel all but impossible.
0,Being_contained_within,"In this situation, a Trajector is contained inside a Landmark.",,Landmark,
0,Being_contained_within,"In this situation, a Trajector is contained inside a Landmark.",,Trajector,
0,Being_contained_within,"In this situation, a Trajector is contained inside a Landmark.",,Time,
0,Renting_out,A Lessor who owns some Goods allows a Lessee to use the Goods temporarily in exchange for Money.,I <t>rented</t> my cabin to him.,Lessee,Lee rented a textbook <fex>to Abby</fex>.
0,Renting_out,A Lessor who owns some Goods allows a Lessee to use the Goods temporarily in exchange for Money.,I <t>rented</t> my cabin to him.,Goods,Kim rented <fex>the shed</fex> out .
0,Renting_out,A Lessor who owns some Goods allows a Lessee to use the Goods temporarily in exchange for Money.,I <t>rented</t> my cabin to him.,Lessor,"So far, <fex>my company</fex> has rented the video more than three million times ."
0,Renting_out,A Lessor who owns some Goods allows a Lessee to use the Goods temporarily in exchange for Money.,I <t>rented</t> my cabin to him.,Time,
0,Renting_out,A Lessor who owns some Goods allows a Lessee to use the Goods temporarily in exchange for Money.,I <t>rented</t> my cabin to him.,Place,U-haul rents <fex>almost everywhere</fex>.
0,State,An Entity persists in a stable situation called a State,,Entity,
0,Accoutrements,"A Wearer wears accessories, which are made of  some Material and may have a Style.",She wore a black velvet <t>hat</t> on her head.,Accoutrement,She wore a <fex>tiara</fex>.
0,Concessive,A speaker marks a Conceded_state_of_affairs as being or implying a contradiction to the Main_assertion.,"<t>Although</t> she had some trouble , she was able to finish about two hours early .",Conceded_state_of_affairs,
0,Concessive,A speaker marks a Conceded_state_of_affairs as being or implying a contradiction to the Main_assertion.,"<t>Although</t> she had some trouble , she was able to finish about two hours early .",Topic,She got married in spite of <fex>him</fex> .
0,Concessive,A speaker marks a Conceded_state_of_affairs as being or implying a contradiction to the Main_assertion.,"<t>Although</t> she had some trouble , she was able to finish about two hours early .",Main_assertion,
0,Visiting_scenario,An Agent and an Entity become co-located.,,Agent,
0,Cause_bodily_experience,An Agent or Cause affects a Body_part of an Experiencer so that the quality of the Experiencer's perceptual experience of the Body_part is qualitatively changed.,Chandra <t>massaged</t> Liliana's wrist because it was injured.,Agent,
0,Cause_bodily_experience,An Agent or Cause affects a Body_part of an Experiencer so that the quality of the Experiencer's perceptual experience of the Body_part is qualitatively changed.,Chandra <t>massaged</t> Liliana's wrist because it was injured.,Experiencer,Do n't tickle <fex>me</fex> !
0,Cause_bodily_experience,An Agent or Cause affects a Body_part of an Experiencer so that the quality of the Experiencer's perceptual experience of the Body_part is qualitatively changed.,Chandra <t>massaged</t> Liliana's wrist because it was injured.,Body_part,
0,Cause_bodily_experience,An Agent or Cause affects a Body_part of an Experiencer so that the quality of the Experiencer's perceptual experience of the Body_part is qualitatively changed.,Chandra <t>massaged</t> Liliana's wrist because it was injured.,Cause,<fex>The coat</fex> chafed a bit .
0,Cause_bodily_experience,An Agent or Cause affects a Body_part of an Experiencer so that the quality of the Experiencer's perceptual experience of the Body_part is qualitatively changed.,Chandra <t>massaged</t> Liliana's wrist because it was injured.,Time,
0,Cause_bodily_experience,An Agent or Cause affects a Body_part of an Experiencer so that the quality of the Experiencer's perceptual experience of the Body_part is qualitatively changed.,Chandra <t>massaged</t> Liliana's wrist because it was injured.,Place,
0,Documents,Words in the frame refer to any Document that has a legal status or conventional social significance.,They got their marriage <t>licence</t> from Canada.,Bearer,<fex>My </fex> visa will expire next month.
0,Documents,Words in the frame refer to any Document that has a legal status or conventional social significance.,They got their marriage <t>licence</t> from Canada.,Issuer,<fex>US consulate</fex> issued a Visa to Ms. Yang to travel to San Francisco.
0,Documents,Words in the frame refer to any Document that has a legal status or conventional social significance.,They got their marriage <t>licence</t> from Canada.,Obligation,They were all under subpoena <fex>to appear in court.</fex>
0,Documents,Words in the frame refer to any Document that has a legal status or conventional social significance.,They got their marriage <t>licence</t> from Canada.,Right,Raymond has a <fex>fishing</fex> licence.
0,Documents,Words in the frame refer to any Document that has a legal status or conventional social significance.,They got their marriage <t>licence</t> from Canada.,Status,The couple just got their <fex>marriage</fex> certificate.
0,Documents,Words in the frame refer to any Document that has a legal status or conventional social significance.,They got their marriage <t>licence</t> from Canada.,Document,The police need a search <fex><t>warrant</t></fex> to enter his house.
0,Sleep_wake_cycle,"A Sleeper enters a state of consciousness of reduced external awareness, remains in this state for some amount of time, and (normally) returns to full wakeful consciousness.",,Duration,
0,Sleep_wake_cycle,"A Sleeper enters a state of consciousness of reduced external awareness, remains in this state for some amount of time, and (normally) returns to full wakeful consciousness.",,Sleeper,
0,Sleep_wake_cycle,"A Sleeper enters a state of consciousness of reduced external awareness, remains in this state for some amount of time, and (normally) returns to full wakeful consciousness.",,Time,
0,Sleep_wake_cycle,"A Sleeper enters a state of consciousness of reduced external awareness, remains in this state for some amount of time, and (normally) returns to full wakeful consciousness.",,Place,
0,Give_impression,"In this class of perception words, a Phenomenon, typically expressed as External Argument, and its perceptual characteristics are given some description.","There's a hamburger bar open, and it <t>smells</t> real good.",Phenomenon,<fex>The soup</fex> tasted very salty.
0,Give_impression,"In this class of perception words, a Phenomenon, typically expressed as External Argument, and its perceptual characteristics are given some description.","There's a hamburger bar open, and it <t>smells</t> real good.",Characterization,Kim's new furniture looks <fex>sort of bluish</fex>.
0,Give_impression,"In this class of perception words, a Phenomenon, typically expressed as External Argument, and its perceptual characteristics are given some description.","There's a hamburger bar open, and it <t>smells</t> real good.",Appraisal,Kim's hair feels <fex>nice</fex>.
0,Give_impression,"In this class of perception words, a Phenomenon, typically expressed as External Argument, and its perceptual characteristics are given some description.","There's a hamburger bar open, and it <t>smells</t> real good.",Inference,Pat sounds <fex>devastated</fex> by the bad news.
0,Domination,"An Agent has a influential, controlling position in a Situation, and is the primary causal factor in the development of the Situation, leaving other Competitors unable to take controlling positions.",,Agent,
0,Domination,"An Agent has a influential, controlling position in a Situation, and is the primary causal factor in the development of the Situation, leaving other Competitors unable to take controlling positions.",,Situation,
0,Domination,"An Agent has a influential, controlling position in a Situation, and is the primary causal factor in the development of the Situation, leaving other Competitors unable to take controlling positions.",,Competitor,
0,Domination,"An Agent has a influential, controlling position in a Situation, and is the primary causal factor in the development of the Situation, leaving other Competitors unable to take controlling positions.",,Time,
0,Domination,"An Agent has a influential, controlling position in a Situation, and is the primary causal factor in the development of the Situation, leaving other Competitors unable to take controlling positions.",,Place,
0,Topic,A stretch of linguistic discourse or a Text that a Communicator produces has a Topic that it is about.,Chapter 5 <t>discusses</t> the issue of transubstantiation.,Topic,
0,Topic,A stretch of linguistic discourse or a Text that a Communicator produces has a Topic that it is about.,Chapter 5 <t>discusses</t> the issue of transubstantiation.,Text,Sue bought a <fex>book</fex> about Pennsylvania
0,Topic,A stretch of linguistic discourse or a Text that a Communicator produces has a Topic that it is about.,Chapter 5 <t>discusses</t> the issue of transubstantiation.,Communicator,"In his book, <fex>Smithers</fex> discusses cotton production. "
0,Topic,A stretch of linguistic discourse or a Text that a Communicator produces has a Topic that it is about.,Chapter 5 <t>discusses</t> the issue of transubstantiation.,Time,
0,Buildings,This frame contains words which name permanent fixed structures forming an enclosure and providing protection from the elements.,"The baroque <t>church</t>, built in 1635, has a very rich interior",Building,
0,Buildings,This frame contains words which name permanent fixed structures forming an enclosure and providing protection from the elements.,"The baroque <t>church</t>, built in 1635, has a very rich interior",Place,
0,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world.",<t>Actual</t> results may vary.,Instance,"In May of 1994, FBI agents working for Mr. Fiske interviewed Mrs. Foster, showed her <fex>an ACTUAL  gun</fex>, not a photo, and asked her if she could identify the gun."
0,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world.",<t>Actual</t> results may vary.,Type,His actual <fex>name</fex> was Nabu-Kudurri-Usur.
0,Relating_concepts,A Concept_1 is related to Concept_2 by some Evidence.,The single remaining piece of evidence <t>linked</t> Kirov the tailor to Kirov the dissident activist.,Concept_1,High death rates among smokers connect <fex>cigarettes</fex> with disease.
0,Relating_concepts,A Concept_1 is related to Concept_2 by some Evidence.,The single remaining piece of evidence <t>linked</t> Kirov the tailor to Kirov the dissident activist.,Concept_2,Skid marks on the street connects my neighbor's car <fex>to my broken mailbox</fex>.
0,Relating_concepts,A Concept_1 is related to Concept_2 by some Evidence.,The single remaining piece of evidence <t>linked</t> Kirov the tailor to Kirov the dissident activist.,Evidence,<fex>Footprints</fex> connect her to the crime.
0,Relating_concepts,A Concept_1 is related to Concept_2 by some Evidence.,The single remaining piece of evidence <t>linked</t> Kirov the tailor to Kirov the dissident activist.,Concepts,Ample evidence is able to connect <fex>the two</fex>.
0,Commerce_money-transfer,The subframe of the Commercial_transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods).,,Buyer,<fex>Jess</fex> bought a coat.
0,Commerce_money-transfer,The subframe of the Commercial_transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods).,,Goods,Kim bought <fex>the sweater</fex>.
0,Commerce_money-transfer,The subframe of the Commercial_transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods).,,Money,Pat paid <fex>14 dollars</fex> for a movie ticket.
0,Commerce_money-transfer,The subframe of the Commercial_transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods).,,Seller,
0,Commerce_money-transfer,The subframe of the Commercial_transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods).,,Exchangers,
0,Commerce_money-transfer,The subframe of the Commercial_transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods).,,Time,
0,Commerce_money-transfer,The subframe of the Commercial_transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods).,,Place,
0,Dominate_competitor,"An Agent, by virtue of strength or forcefulness, controls, rules, or strongly influences some Patient in some Situation.","The fireballing righthander looked poised to <t>dominate</t> the Yankees yet again, striking out seven straight batters during one stretch",Agent,
0,Dominate_competitor,"An Agent, by virtue of strength or forcefulness, controls, rules, or strongly influences some Patient in some Situation.","The fireballing righthander looked poised to <t>dominate</t> the Yankees yet again, striking out seven straight batters during one stretch",Patient,
0,Dominate_competitor,"An Agent, by virtue of strength or forcefulness, controls, rules, or strongly influences some Patient in some Situation.","The fireballing righthander looked poised to <t>dominate</t> the Yankees yet again, striking out seven straight batters during one stretch",Time,Their role models might have dominated women <fex>in the past</fex>; they may not have understood the concept of equality.
0,Dominate_competitor,"An Agent, by virtue of strength or forcefulness, controls, rules, or strongly influences some Patient in some Situation.","The fireballing righthander looked poised to <t>dominate</t> the Yankees yet again, striking out seven straight batters during one stretch",Place,Women tend to dominatemen <fex>at home and at Church</fex>.
0,Being_questionable,"In this frame, an Entity or Behavior is suspicious or otherwise subject to question.",We found some <t>suspicious</t> checks lying on his desk.,Behavior,
0,Being_questionable,"In this frame, an Entity or Behavior is suspicious or otherwise subject to question.",We found some <t>suspicious</t> checks lying on his desk.,Social_actor,
0,Being_questionable,"In this frame, an Entity or Behavior is suspicious or otherwise subject to question.",We found some <t>suspicious</t> checks lying on his desk.,Entity,
0,Have_as_translation_equivalent,A  Source_symbol in a Source_representation system is presented to be matched by a Target_symbol in a Target_representation in the ability to express a particular Content.,"A palintonon or palintone <t>translates</t> as 'V-spring' and euthytonon or euthytone
translates as 'straight-spring' from Greek.",Source_symbol,"<fex>'Hi, dude'</fex> translates into Spanish as Hola tío."
0,Have_as_translation_equivalent,A  Source_symbol in a Source_representation system is presented to be matched by a Target_symbol in a Target_representation in the ability to express a particular Content.,"A palintonon or palintone <t>translates</t> as 'V-spring' and euthytonon or euthytone
translates as 'straight-spring' from Greek.",Source_representation,"The bands' name translates into English as Killer Bananas <fex>from their native French</fex>
and they play metal and horror themed punk rock 'n' roll."
0,Have_as_translation_equivalent,A  Source_symbol in a Source_representation system is presented to be matched by a Target_symbol in a Target_representation in the ability to express a particular Content.,"A palintonon or palintone <t>translates</t> as 'V-spring' and euthytonon or euthytone
translates as 'straight-spring' from Greek.",Target_symbol,The word giallo translates into English as <fex>'yellow'</fex>.
0,Have_as_translation_equivalent,A  Source_symbol in a Source_representation system is presented to be matched by a Target_symbol in a Target_representation in the ability to express a particular Content.,"A palintonon or palintone <t>translates</t> as 'V-spring' and euthytonon or euthytone
translates as 'straight-spring' from Greek.",Target_representation,More sinister still is the fact that Homeland translates <fex>into German</fex> as Fatherland.
0,Have_as_translation_equivalent,A  Source_symbol in a Source_representation system is presented to be matched by a Target_symbol in a Target_representation in the ability to express a particular Content.,"A palintonon or palintone <t>translates</t> as 'V-spring' and euthytonon or euthytone
translates as 'straight-spring' from Greek.",Content,"<fex>The disclaimer in question</fex> translated as: 'Yo, Gringo! This episode of The Twilight Zone was paid for by Robinson for Congress.'"
0,Have_as_translation_equivalent,A  Source_symbol in a Source_representation system is presented to be matched by a Target_symbol in a Target_representation in the ability to express a particular Content.,"A palintonon or palintone <t>translates</t> as 'V-spring' and euthytonon or euthytone
translates as 'straight-spring' from Greek.",Time,
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Cognizer,"The text was published in Lescarbot's Les Muses de la Nouvelle-France (Paris
1609) and later translated <fex>by HT Richardson</fex>."
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Source_symbol,Biblical scholars typically translate <fex>kenosis</fex> as self-emptying or self-offering.
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Source_representation,"More books were translated <fex>from other languages</fex> into Russian in the 1980s , including record numbers from English , German and French."
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Target_symbol," Together with the French Prime Minister, Guizot, he translated it into French <fex>as entente cordiale</fex> for King Louis Philippe to use in his speech."
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Target_representation,Well they translated it <fex>into Spanish</fex> as 'Uno-Dos-Tres Meneha Meneha!'
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Content,She guided me through the dishes available that afternoon and translated <fex>my order</fex> into Spanish for the older woman in the kitchen.
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Time,<fex>Last year</fex> I translated a short book on the artist Anne Ratkowski (of the pre-war November Group in Berlin) from German into English.
0,Translating,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format. ''",This word is sometimes <t>translated</t> as ` girl '. CNI,Place,
0,Reliance_on_expectation,"A Cognizer takes a certain Expectation to be a reliable fact, such that their plans can be based on it.",I can always <t>count</t> <t>on</t> him being late to work when it's raining.,Cognizer,
0,Reliance_on_expectation,"A Cognizer takes a certain Expectation to be a reliable fact, such that their plans can be based on it.",I can always <t>count</t> <t>on</t> him being late to work when it's raining.,Expectation,I think you should count <fex>on getting a paycut</fex>.
0,Event_endstate,The endstate of a simple event X-schema.,,Entity,
0,Event_endstate,The endstate of a simple event X-schema.,,State,
0,Bounded_entity,"This is an abstract frame for bounded areas, used mostly for FE inheritance.",,Bounded_area,
0,Bounded_entity,"This is an abstract frame for bounded areas, used mostly for FE inheritance.",,Constituent_parts,
0,Bounded_entity,"This is an abstract frame for bounded areas, used mostly for FE inheritance.",,Relative_location,
0,Bounded_entity,"This is an abstract frame for bounded areas, used mostly for FE inheritance.",,Name,
0,Bounded_entity,"This is an abstract frame for bounded areas, used mostly for FE inheritance.",,Owner,
0,Bounded_entity,"This is an abstract frame for bounded areas, used mostly for FE inheritance.",,Formational_cause,
0,Perception,A Perceiver perceives a Phenomenon.,,Perceiver,
0,Perception,A Perceiver perceives a Phenomenon.,,Phenomenon,Kim perceived <fex>a flaw</fex>.
